Image,PSNR,SSIM
COVID-1.png,31.962722778320312,0.93352145
COVID-10.png,33.12896728515625,0.8877063
COVID-100.png,29.67163848876953,0.9067364
COVID-1000.png,29.251590728759766,0.91885066
COVID-1001.png,27.9105281829834,0.8754728
COVID-1002.png,29.30426597595215,0.8539438
COVID-1003.png,30.111873626708984,0.8859373
COVID-1004.png,31.51571273803711,0.922347
COVID-1005.png,29.499557495117188,0.8621018
COVID-1006.png,30.417007446289062,0.86744434
COVID-1007.png,27.458053588867188,0.8870425
COVID-1008.png,32.214351654052734,0.88818413
COVID-1009.png,29.154956817626953,0.88040847
COVID-101.png,29.82550811767578,0.84392184
COVID-1010.png,30.072704315185547,0.8954883
COVID-1011.png,28.722810745239258,0.8798161
COVID-1012.png,30.92645835876465,0.8978401
COVID-1013.png,32.31733703613281,0.9187539
COVID-1014.png,29.0290470123291,0.8451167
COVID-1015.png,28.64341926574707,0.892251
COVID-1016.png,28.05790901184082,0.8754491
COVID-1017.png,27.284778594970703,0.80382746
COVID-1018.png,29.77064323425293,0.88893527
COVID-1019.png,30.829055786132812,0.89355665
COVID-102.png,34.1281852722168,0.9417331
COVID-1020.png,32.207542419433594,0.847997
COVID-1021.png,26.76814079284668,0.90307236
COVID-1022.png,32.209144592285156,0.92023116
COVID-1023.png,32.03058624267578,0.8913085
COVID-1024.png,30.09442901611328,0.90393734
COVID-1025.png,32.235206604003906,0.9112777
COVID-1026.png,32.993858337402344,0.9005919
COVID-1027.png,29.329565048217773,0.915072
COVID-1028.png,27.838544845581055,0.89225465
COVID-1029.png,31.804195404052734,0.8913326
COVID-103.png,26.794017791748047,0.8622751
COVID-1030.png,30.412044525146484,0.8857374
COVID-1031.png,30.53551483154297,0.90294385
COVID-1032.png,32.87948989868164,0.90394753
COVID-1033.png,30.246620178222656,0.91720176
COVID-1034.png,28.459999084472656,0.8980883
COVID-1035.png,34.160850524902344,0.8988063
COVID-1036.png,30.07805824279785,0.9094524
COVID-1037.png,30.75836944580078,0.86556387
COVID-1038.png,26.054222106933594,0.88848305
COVID-1039.png,29.832975387573242,0.8654855
COVID-104.png,34.92108917236328,0.92756605
COVID-1040.png,30.676591873168945,0.8515194
COVID-1041.png,30.54174041748047,0.9099212
COVID-1042.png,32.40644454956055,0.91230184
